ID,customerNo,customerName,email,phone,city,tier,lifetimeRevenue,totalOrders,lastTierUpdate,region_ID
C0001,CUS00001,Smart Enterprises,customer1@gmail.com,9609266672,New York,Bronze,0,0,,R001
C0002,CUS00002,Prime Corporation,customer2@gmail.com,9148634607,Delhi,Bronze,0,0,,R002
C0003,CUS00003,Future Corporation,customer3@gmail.com,9292834459,Delhi,Bronze,0,0,,R001
C0004,CUS00004,Apex Technologies,customer4@gmail.com,9132314575,Dubai,Bronze,0,0,,R004
C0005,CUS00005,NextGen Electronics,customer5@gmail.com,9825452371,New York,Bronze,0,0,,R001
C0006,CUS00006,Vertex Foods,customer6@gmail.com,9857000091,Delhi,Bronze,0,0,,R007
C0007,CUS00007,Green Solutions,customer7@gmail.com,9723150661,Bangalore,Bronze,0,0,,R005
C0008,CUS00008,Vertex Corporation,customer8@gmail.com,9323068881,Kolkata,Bronze,0,0,,R001
C0009,CUS00009,Tech Systems,customer9@gmail.com,9288850304,Dubai,Bronze,0,0,,R008
C0010,CUS00010,United Technologies,customer10@gmail.com,9100827890,Dubai,Bronze,0,0,,R003
C0011,CUS00011,United Technologies,customer11@gmail.com,9380956658,Mumbai,Bronze,0,0,,R006
C0012,CUS00012,Green Foods,customer12@gmail.com,9606311425,Pune,Bronze,0,0,,R004
C0013,CUS00013,ABC Industries,customer13@gmail.com,9709009133,Ahmedabad,Bronze,0,0,,R005
C0014,CUS00014,Blue Enterprises,customer14@gmail.com,9463585830,Delhi,Bronze,0,0,,R006
C0015,CUS00015,Blue Traders,customer15@gmail.com,9587602608,New York,Bronze,0,0,,R007
C0016,CUS00016,ABC Industries,customer16@gmail.com,9848691682,Chennai,Bronze,0,0,,R008
C0017,CUS00017,United Foods,customer17@gmail.com,9301042406,Pune,Bronze,0,0,,R004
C0018,CUS00018,Pioneer Electronics,customer18@gmail.com,9284301594,Delhi,Bronze,0,0,,R002
C0019,CUS00019,Smart Retail,customer19@gmail.com,9725436082,Ahmedabad,Bronze,0,0,,R007
C0020,CUS00020,Apex Traders,customer20@gmail.com,9881766915,Dubai,Bronze,0,0,,R006
C0021,CUS00021,Global Traders,customer21@gmail.com,9673913518,Delhi,Bronze,0,0,,R003
C0022,CUS00022,Green Electronics,customer22@gmail.com,9284034181,Bangalore,Bronze,0,0,,R008
C0023,CUS00023,Green Foods,customer23@gmail.com,9104113412,New York,Bronze,0,0,,R002
C0024,CUS00024,Pioneer Retail,customer24@gmail.com,9783666605,Delhi,Bronze,0,0,,R001
C0025,CUS00025,Apex Technologies,customer25@gmail.com,9375301424,Pune,Bronze,0,0,,R005
C0026,CUS00026,Global Systems,customer26@gmail.com,9424179471,Chennai,Bronze,0,0,,R005
C0027,CUS00027,Pioneer Systems,customer27@gmail.com,9878689765,Berlin,Bronze,0,0,,R005
C0028,CUS00028,Blue Enterprises,customer28@gmail.com,9998988050,Chennai,Bronze,0,0,,R004
C0029,CUS00029,Elite Foods,customer29@gmail.com,9810259132,Berlin,Bronze,0,0,,R007
C0030,CUS00030,Prime Foods,customer30@gmail.com,9699488681,Bangalore,Bronze,0,0,,R008
C0031,CUS00031,Prime Foods,customer31@gmail.com,9793608065,Mumbai,Bronze,0,0,,R002
C0032,CUS00032,Pioneer Enterprises,customer32@gmail.com,9683180727,Pune,Bronze,0,0,,R005
C0033,CUS00033,Pioneer Retail,customer33@gmail.com,9674835222,Kolkata,Bronze,0,0,,R006
C0034,CUS00034,Blue Foods,customer34@gmail.com,9646580536,Dubai,Bronze,0,0,,R005
C0035,CUS00035,Green Corporation,customer35@gmail.com,9649533496,Chennai,Bronze,0,0,,R005
C0036,CUS00036,Vertex Industries,customer36@gmail.com,9817718546,Pune,Bronze,0,0,,R008
C0037,CUS00037,Tech Electronics,customer37@gmail.com,9837504911,Hyderabad,Bronze,0,0,,R007
C0038,CUS00038,Global Electronics,customer38@gmail.com,9818156970,Bangalore,Bronze,0,0,,R008
C0039,CUS00039,NextGen Solutions,customer39@gmail.com,9827961880,Dubai,Bronze,0,0,,R005
C0040,CUS00040,Future Technologies,customer40@gmail.com,9459646850,Mumbai,Bronze,0,0,,R007
C0041,CUS00041,Vertex Retail,customer41@gmail.com,9689135001,Kolkata,Bronze,0,0,,R001
C0042,CUS00042,Prime Electronics,customer42@gmail.com,9808963226,New York,Bronze,0,0,,R001
C0043,CUS00043,Apex Traders,customer43@gmail.com,9621310780,Ahmedabad,Bronze,0,0,,R005
C0044,CUS00044,Smart Traders,customer44@gmail.com,9238262929,Bangalore,Bronze,0,0,,R007
C0045,CUS00045,Pioneer Corporation,customer45@gmail.com,9848712318,Kolkata,Bronze,0,0,,R007
C0046,CUS00046,Vision Technologies,customer46@gmail.com,9763431776,Ahmedabad,Bronze,0,0,,R003
C0047,CUS00047,ABC Systems,customer47@gmail.com,9642125760,Berlin,Bronze,0,0,,R001
C0048,CUS00048,Apex Foods,customer48@gmail.com,9540725406,Ahmedabad,Bronze,0,0,,R003
C0049,CUS00049,Vertex Industries,customer49@gmail.com,9241154160,Mumbai,Bronze,0,0,,R002
C0050,CUS00050,Vertex Traders,customer50@gmail.com,9419761187,Berlin,Bronze,0,0,,R007
C0051,CUS00051,Vertex Enterprises,customer51@gmail.com,9401902856,Delhi,Bronze,0,0,,R005
C0052,CUS00052,Elite Enterprises,customer52@gmail.com,9886174265,New York,Bronze,0,0,,R004
C0053,CUS00053,Prime Corporation,customer53@gmail.com,9989848058,Berlin,Bronze,0,0,,R002
C0054,CUS00054,NextGen Foods,customer54@gmail.com,9971338659,Pune,Bronze,0,0,,R005
C0055,CUS00055,Smart Traders,customer55@gmail.com,9560724208,New York,Bronze,0,0,,R006
C0056,CUS00056,Vision Technologies,customer56@gmail.com,9751733702,Mumbai,Bronze,0,0,,R008
C0057,CUS00057,Tech Systems,customer57@gmail.com,9750663520,Pune,Bronze,0,0,,R003
C0058,CUS00058,Tech Systems,customer58@gmail.com,9713492127,Hyderabad,Bronze,0,0,,R006
C0059,CUS00059,Vision Solutions,customer59@gmail.com,9894418582,Kolkata,Bronze,0,0,,R006
