ID,order_ID,product_ID,quantity,sellingPrice,discount,lineAmount
I000001,O00001,P0016,7,39719,5,264131.35
I000002,O00001,P0023,7,55725,5,370571.25
I000003,O00001,P0058,5,16575,0,82875.00
I000004,O00001,P0021,9,61837,5,528706.35
I000005,O00001,P0018,2,28628,10,51530.40
I000006,O00002,P0083,5,24478,5,116270.50
I000007,O00002,P0014,6,22374,0,134244.00
I000008,O00002,P0098,1,13062,20,10449.60
I000009,O00002,P0065,4,38180,5,145084.00
I000010,O00002,P0059,5,27604,20,110416.00
I000011,O00003,P0056,5,42380,15,180115.00
I000012,O00003,P0048,10,37447,20,299576.00
I000013,O00003,P0055,6,37597,20,180465.60
I000014,O00003,P0084,5,20164,0,100820.00
I000015,O00004,P0058,8,16575,15,112710.00
I000016,O00004,P0011,1,14495,5,13770.25
I000017,O00004,P0011,3,14495,0,43485.00
I000018,O00004,P0055,8,37597,0,300776.00
I000019,O00004,P0040,7,22405,5,148993.25
I000020,O00005,P0079,6,49546,10,267548.40
I000021,O00005,P0096,1,42139,5,40032.05
I000022,O00005,P0058,5,16575,5,78731.25
I000023,O00005,P0001,10,45925,20,367400.00
I000024,O00005,P0057,1,42897,10,38607.30
I000025,O00006,P0084,5,20164,5,95779.00
I000026,O00006,P0095,8,35691,0,285528.00
I000027,O00006,P0046,5,29632,5,140752.00
I000028,O00007,P0066,9,12374,20,89092.80
I000029,O00007,P0023,8,55725,15,378930.00
I000030,O00008,P0033,7,50105,5,333198.25
I000031,O00008,P0070,10,38307,20,306456.00
I000032,O00008,P0019,10,50966,15,433211.00
I000033,O00008,P0092,9,10982,0,98838.00
I000034,O00009,P0054,7,25752,10,162237.60
I000035,O00009,P0067,9,29020,10,235062.00
I000036,O00010,P0004,6,59538,15,303643.80
I000037,O00010,P0037,3,34307,5,97774.95
I000038,O00010,P0020,5,60579,0,302895.00
I000039,O00010,P0045,2,49014,15,83323.80
I000040,O00010,P0048,8,37447,15,254639.60
I000041,O00011,P0079,3,49546,5,141206.10
I000042,O00012,P0029,3,39973,0,119919.00
I000043,O00012,P0001,10,45925,10,413325.00
I000044,O00013,P0086,2,13893,5,26396.70
I000045,O00013,P0043,5,53045,20,212180.00
I000046,O00014,P0093,5,46962,5,223069.50
I000047,O00014,P0059,9,27604,20,198748.80
I000048,O00014,P0089,4,20493,0,81972.00
I000049,O00014,P0079,9,49546,15,379026.90
I000050,O00015,P0060,9,48833,5,417522.15
I000051,O00016,P0100,4,17786,5,67586.80
I000052,O00016,P0026,6,43366,10,234176.40
I000053,O00017,P0073,2,35536,15,60411.20
I000054,O00017,P0099,6,53479,15,272742.90
I000055,O00017,P0003,8,64507,20,412844.80
I000056,O00017,P0052,2,28616,10,51508.80
I000057,O00017,P0038,10,41524,15,352954.00
I000058,O00018,P0039,2,13519,0,27038.00
I000059,O00018,P0070,5,38307,20,153228.00
I000060,O00018,P0022,6,13413,15,68406.30
I000061,O00019,P0021,2,61837,20,98939.20
I000062,O00019,P0099,10,53479,0,534790.00
I000063,O00019,P0043,4,53045,15,180353.00
I000064,O00020,P0021,3,61837,15,157684.35
I000065,O00020,P0085,5,51626,0,258130.00
I000066,O00020,P0088,2,49841,15,84729.70
I000067,O00020,P0040,1,22405,15,19044.25
I000068,O00021,P0003,7,64507,5,428971.55
I000069,O00021,P0075,8,10086,10,72619.20
I000070,O00022,P0048,8,37447,5,284597.20
I000071,O00022,P0005,10,5624,10,50616.00
I000072,O00022,P0061,7,24793,10,156195.90
I000073,O00023,P0075,2,10086,10,18154.80
I000074,O00023,P0072,9,47942,0,431478.00
I000075,O00023,P0054,8,25752,0,206016.00
I000076,O00023,P0016,8,39719,15,270089.20
I000077,O00023,P0036,6,48983,0,293898.00
I000078,O00024,P0091,7,60565,15,360361.75
I000079,O00024,P0086,8,13893,5,105586.80
I000080,O00024,P0098,10,13062,10,117558.00
I000081,O00024,P0044,9,37026,0,333234.00
I000082,O00024,P0034,7,52301,10,329496.30
I000083,O00025,P0047,4,48530,0,194120.00
I000084,O00025,P0031,6,47765,5,272260.50
I000085,O00026,P0020,9,60579,20,436168.80
I000086,O00026,P0077,3,8655,15,22070.25
I000087,O00026,P0016,7,39719,5,264131.35
I000088,O00026,P0015,3,46486,20,111566.40
I000089,O00027,P0010,2,47717,20,76347.20
I000090,O00027,P0054,9,25752,15,197002.80
I000091,O00028,P0004,6,59538,15,303643.80
I000092,O00028,P0089,6,20493,0,122958.00
I000093,O00028,P0009,5,52209,0,261045.00
I000094,O00028,P0047,2,48530,0,97060.00
I000095,O00029,P0090,10,33743,15,286815.50
I000096,O00029,P0005,9,5624,5,48085.20
I000097,O00030,P0094,7,35256,10,222112.80
I000098,O00031,P0040,1,22405,20,17924.00
I000099,O00031,P0072,2,47942,5,91089.80
I000100,O00031,P0021,7,61837,10,389573.10
I000101,O00031,P0047,3,48530,15,123751.50
I000102,O00031,P0099,9,53479,15,409114.35
I000103,O00032,P0059,6,27604,20,132499.20
I000104,O00032,P0044,8,37026,15,251776.80
I000105,O00032,P0034,9,52301,20,376567.20
I000106,O00033,P0088,4,49841,10,179427.60
I000107,O00034,P0091,4,60565,5,230147.00
I000108,O00035,P0078,5,9952,15,42296.00
I000109,O00035,P0031,4,47765,10,171954.00
I000110,O00035,P0039,8,13519,0,108152.00
I000111,O00035,P0003,9,64507,15,493478.55
I000112,O00036,P0017,3,51525,15,131388.75
I000113,O00036,P0008,8,57417,5,436369.20
I000114,O00037,P0001,1,45925,5,43628.75
I000115,O00037,P0092,6,10982,0,65892.00
I000116,O00038,P0094,10,35256,15,299676.00
I000117,O00039,P0027,7,35875,0,251125.00
I000118,O00039,P0041,5,26259,15,111600.75
I000119,O00039,P0062,3,33323,5,94970.55
I000120,O00039,P0062,10,33323,15,283245.50
I000121,O00040,P0004,1,59538,0,59538.00
I000122,O00040,P0010,6,47717,0,286302.00
I000123,O00040,P0100,1,17786,15,15118.10
I000124,O00040,P0072,5,47942,20,191768.00
I000125,O00041,P0090,9,33743,0,303687.00
I000126,O00042,P0054,2,25752,10,46353.60
I000127,O00042,P0068,1,47879,5,45485.05
I000128,O00043,P0016,2,39719,5,75466.10
I000129,O00043,P0032,9,45113,10,365415.30
I000130,O00043,P0041,2,26259,10,47266.20
I000131,O00043,P0053,2,9266,20,14825.60
I000132,O00044,P0042,2,61517,5,116882.30
I000133,O00044,P0011,3,14495,0,43485.00
I000134,O00044,P0064,5,36237,5,172125.75
I000135,O00044,P0009,1,52209,20,41767.20
I000136,O00044,P0091,7,60565,15,360361.75
I000137,O00045,P0087,9,49638,5,424404.90
I000138,O00045,P0019,8,50966,20,326182.40
I000139,O00045,P0095,1,35691,20,28552.80
I000140,O00045,P0087,2,49638,0,99276.00
I000141,O00045,P0015,7,46486,0,325402.00
I000142,O00046,P0026,1,43366,15,36861.10
I000143,O00046,P0005,2,5624,0,11248.00
I000144,O00046,P0027,4,35875,10,129150.00
I000145,O00047,P0093,5,46962,5,223069.50
I000146,O00047,P0077,2,8655,5,16444.50
I000147,O00048,P0076,5,15519,0,77595.00
I000148,O00048,P0038,6,41524,0,249144.00
I000149,O00049,P0042,1,61517,5,58441.15
I000150,O00049,P0037,6,34307,5,195549.90
I000151,O00049,P0058,7,16575,10,104422.50
I000152,O00050,P0041,9,26259,10,212697.90
I000153,O00050,P0015,2,46486,10,83674.80
I000154,O00051,P0064,5,36237,10,163066.50
I000155,O00051,P0081,4,14513,10,52246.80
I000156,O00051,P0012,2,28291,0,56582.00
I000157,O00052,P0026,9,43366,0,390294.00
I000158,O00052,P0008,4,57417,10,206701.20
I000159,O00052,P0057,9,42897,5,366769.35
I000160,O00052,P0053,4,9266,5,35210.80
I000161,O00053,P0020,4,60579,5,230200.20
I000162,O00053,P0095,8,35691,5,271251.60
I000163,O00053,P0092,1,10982,5,10432.90
I000164,O00054,P0014,5,22374,0,111870.00
I000165,O00054,P0019,4,50966,10,183477.60
I000166,O00054,P0003,4,64507,15,219323.80
I000167,O00054,P0024,10,28494,5,270693.00
I000168,O00054,P0095,1,35691,5,33906.45
I000169,O00055,P0010,4,47717,5,181324.60
I000170,O00055,P0027,7,35875,15,213456.25
I000171,O00055,P0011,8,14495,0,115960.00
I000172,O00055,P0074,10,25591,10,230319.00
I000173,O00055,P0052,6,28616,5,163111.20
I000174,O00056,P0073,2,35536,5,67518.40
I000175,O00057,P0030,7,38698,10,243797.40
I000176,O00057,P0073,7,35536,5,236314.40
I000177,O00057,P0074,1,25591,15,21752.35
I000178,O00057,P0045,5,49014,15,208309.50
I000179,O00058,P0060,8,48833,15,332064.40
I000180,O00058,P0044,5,37026,5,175873.50
I000181,O00058,P0100,2,17786,5,33793.40
I000182,O00059,P0050,7,55567,10,350072.10
I000183,O00059,P0074,8,25591,0,204728.00
I000184,O00059,P0007,9,19610,10,158841.00
I000185,O00059,P0076,3,15519,10,41901.30
I000186,O00059,P0060,8,48833,0,390664.00
I000187,O00060,P0014,10,22374,15,190179.00
I000188,O00060,P0041,1,26259,15,22320.15
I000189,O00060,P0075,3,10086,0,30258.00
I000190,O00061,P0005,2,5624,15,9560.80
I000191,O00061,P0037,4,34307,0,137228.00
I000192,O00062,P0010,6,47717,20,229041.60
I000193,O00062,P0013,9,16028,5,137039.40
I000194,O00062,P0057,4,42897,5,163008.60
I000195,O00062,P0016,6,39719,5,226398.30
I000196,O00062,P0028,8,31151,20,199366.40
I000197,O00063,P0050,6,55567,10,300061.80
I000198,O00063,P0084,10,20164,15,171394.00
I000199,O00063,P0077,2,8655,5,16444.50
I000200,O00063,P0036,10,48983,15,416355.50
I000201,O00063,P0067,2,29020,5,55138.00
I000202,O00064,P0022,1,13413,20,10730.40
I000203,O00064,P0007,1,19610,15,16668.50
I000204,O00064,P0016,10,39719,10,357471.00
I000205,O00064,P0071,5,38269,5,181777.75
I000206,O00064,P0071,5,38269,20,153076.00
I000207,O00065,P0067,1,29020,0,29020.00
I000208,O00065,P0019,10,50966,20,407728.00
I000209,O00065,P0100,3,17786,15,45354.30
I000210,O00066,P0042,1,61517,0,61517.00
I000211,O00066,P0070,10,38307,10,344763.00
I000212,O00066,P0030,4,38698,20,123833.60
I000213,O00067,P0078,7,9952,15,59214.40
I000214,O00067,P0031,6,47765,20,229272.00
I000215,O00068,P0036,7,48983,0,342881.00
I000216,O00068,P0008,1,57417,20,45933.60
I000217,O00069,P0100,3,17786,0,53358.00
I000218,O00069,P0090,3,33743,0,101229.00
I000219,O00069,P0083,8,24478,5,186032.80
I000220,O00069,P0089,6,20493,5,116810.10
I000221,O00069,P0051,5,21836,10,98262.00
I000222,O00070,P0012,4,28291,10,101847.60
I000223,O00070,P0056,3,42380,10,114426.00
I000224,O00071,P0055,9,37597,5,321454.35
I000225,O00071,P0010,8,47717,10,343562.40
I000226,O00071,P0038,7,41524,20,232534.40
I000227,O00072,P0043,7,53045,0,371315.00
I000228,O00072,P0053,4,9266,10,33357.60
I000229,O00072,P0072,8,47942,20,306828.80
I000230,O00073,P0007,10,19610,10,176490.00
I000231,O00074,P0039,2,13519,0,27038.00
I000232,O00075,P0030,6,38698,0,232188.00
I000233,O00075,P0048,5,37447,15,159149.75
I000234,O00075,P0020,5,60579,10,272605.50
I000235,O00075,P0044,2,37026,0,74052.00
I000236,O00075,P0008,3,57417,0,172251.00
I000237,O00076,P0027,2,35875,20,57400.00
I000238,O00076,P0025,8,9681,15,65830.80
I000239,O00077,P0092,3,10982,20,26356.80
I000240,O00077,P0070,9,38307,20,275810.40
I000241,O00077,P0075,7,10086,10,63541.80
I000242,O00078,P0082,3,51263,0,153789.00
I000243,O00079,P0079,8,49546,15,336912.80
I000244,O00079,P0073,1,35536,10,31982.40
I000245,O00079,P0087,1,49638,5,47156.10
I000246,O00079,P0029,2,39973,0,79946.00
I000247,O00080,P0093,5,46962,20,187848.00
I000248,O00081,P0032,6,45113,0,270678.00
I000249,O00081,P0092,6,10982,15,56008.20
I000250,O00081,P0100,3,17786,0,53358.00
I000251,O00081,P0009,9,52209,15,399398.85
I000252,O00082,P0073,10,35536,5,337592.00
I000253,O00082,P0041,4,26259,5,99784.20
I000254,O00083,P0044,9,37026,20,266587.20
I000255,O00083,P0013,9,16028,15,122614.20
I000256,O00083,P0015,6,46486,10,251024.40
I000257,O00083,P0073,5,35536,10,159912.00
I000258,O00084,P0021,9,61837,5,528706.35
I000259,O00084,P0018,9,28628,15,219004.20
I000260,O00085,P0065,1,38180,0,38180.00
I000261,O00085,P0098,10,13062,0,130620.00
I000262,O00086,P0026,4,43366,15,147444.40
I000263,O00087,P0005,1,5624,0,5624.00
I000264,O00087,P0063,10,33341,15,283398.50
I000265,O00087,P0071,2,38269,20,61230.40
I000266,O00087,P0052,1,28616,0,28616.00
I000267,O00088,P0016,10,39719,10,357471.00
I000268,O00088,P0051,10,21836,0,218360.00
I000269,O00089,P0042,6,61517,20,295281.60
I000270,O00089,P0005,4,5624,15,19121.60
I000271,O00089,P0020,9,60579,15,463429.35
I000272,O00089,P0034,3,52301,5,149057.85
I000273,O00089,P0068,5,47879,20,191516.00
I000274,O00090,P0081,8,14513,20,92883.20
I000275,O00090,P0035,5,13563,0,67815.00
I000276,O00090,P0086,7,13893,5,92388.45
I000277,O00090,P0039,6,13519,0,81114.00
I000278,O00090,P0080,3,25147,5,71668.95
I000279,O00091,P0017,5,51525,10,231862.50
I000280,O00092,P0097,10,36994,15,314449.00
I000281,O00092,P0031,9,47765,10,386896.50
I000282,O00092,P0080,4,25147,0,100588.00
I000283,O00092,P0078,4,9952,20,31846.40
I000284,O00093,P0015,6,46486,10,251024.40
I000285,O00093,P0011,9,14495,5,123932.25
I000286,O00094,P0069,3,32580,5,92853.00
I000287,O00095,P0080,4,25147,0,100588.00
I000288,O00096,P0023,5,55725,15,236831.25
I000289,O00096,P0014,1,22374,10,20136.60
I000290,O00096,P0002,9,31080,10,251748.00
I000291,O00096,P0051,2,21836,10,39304.80
I000292,O00096,P0069,7,32580,15,193851.00
I000293,O00097,P0078,4,9952,5,37817.60
I000294,O00097,P0056,3,42380,10,114426.00
I000295,O00097,P0002,2,31080,15,52836.00
I000296,O00098,P0034,8,52301,20,334726.40
I000297,O00098,P0096,5,42139,15,179090.75
I000298,O00098,P0062,10,33323,5,316568.50
I000299,O00099,P0028,9,31151,10,252323.10
I000300,O00099,P0003,6,64507,10,348337.80
I000301,O00099,P0086,7,13893,20,77800.80
I000302,O00099,P0043,6,53045,5,302356.50
I000303,O00100,P0080,10,25147,10,226323.00
I000304,O00100,P0035,2,13563,0,27126.00
I000305,O00101,P0066,7,12374,20,69294.40
I000306,O00101,P0057,9,42897,15,328162.05
I000307,O00101,P0098,5,13062,5,62044.50
I000308,O00101,P0046,2,29632,5,56300.80
I000309,O00101,P0007,7,19610,20,109816.00
I000310,O00102,P0024,3,28494,20,68385.60
I000311,O00103,P0038,7,41524,15,247067.80
I000312,O00103,P0019,3,50966,5,145253.10
I000313,O00104,P0072,6,47942,5,273269.40
I000314,O00104,P0040,7,22405,20,125468.00
I000315,O00104,P0071,6,38269,20,183691.20
I000316,O00104,P0041,8,26259,15,178561.20
I000317,O00105,P0071,3,38269,20,91845.60
I000318,O00105,P0041,6,26259,10,141798.60
I000319,O00105,P0039,8,13519,10,97336.80
I000320,O00105,P0061,5,24793,0,123965.00
I000321,O00105,P0060,8,48833,15,332064.40
I000322,O00106,P0028,8,31151,0,249208.00
I000323,O00106,P0023,1,55725,5,52938.75
I000324,O00107,P0040,10,22405,20,179240.00
I000325,O00107,P0003,5,64507,15,274154.75
I000326,O00108,P0079,7,49546,5,329480.90
I000327,O00108,P0025,4,9681,20,30979.20
I000328,O00108,P0027,9,35875,0,322875.00
I000329,O00108,P0031,5,47765,10,214942.50
I000330,O00109,P0018,1,28628,15,24333.80
I000331,O00109,P0047,5,48530,5,230517.50
I000332,O00109,P0073,4,35536,0,142144.00
I000333,O00110,P0051,6,21836,10,117914.40
I000334,O00110,P0005,7,5624,0,39368.00
I000335,O00110,P0084,10,20164,5,191558.00
I000336,O00110,P0030,7,38698,15,230253.10
I000337,O00110,P0002,1,31080,20,24864.00
I000338,O00111,P0078,4,9952,15,33836.80
I000339,O00111,P0057,8,42897,5,326017.20
I000340,O00111,P0088,7,49841,5,331442.65
I000341,O00111,P0057,4,42897,10,154429.20
I000342,O00112,P0065,3,38180,15,97359.00
I000343,O00112,P0078,5,9952,5,47272.00
I000344,O00112,P0059,10,27604,15,234634.00
I000345,O00112,P0074,4,25591,15,87009.40
I000346,O00113,P0061,10,24793,10,223137.00
I000347,O00113,P0032,1,45113,5,42857.35
I000348,O00113,P0077,7,8655,5,57555.75
I000349,O00114,P0077,2,8655,5,16444.50
I000350,O00114,P0040,3,22405,20,53772.00
I000351,O00114,P0046,2,29632,5,56300.80
I000352,O00114,P0096,4,42139,20,134844.80
I000353,O00114,P0015,6,46486,10,251024.40
I000354,O00115,P0099,3,53479,15,136371.45
I000355,O00116,P0044,1,37026,20,29620.80
I000356,O00116,P0083,8,24478,20,156659.20
I000357,O00117,P0056,6,42380,0,254280.00
I000358,O00117,P0032,7,45113,15,268422.35
I000359,O00117,P0086,2,13893,0,27786.00
I000360,O00117,P0039,2,13519,5,25686.10
I000361,O00118,P0094,7,35256,5,234452.40
I000362,O00119,P0045,3,49014,20,117633.60
I000363,O00119,P0012,1,28291,15,24047.35
I000364,O00119,P0057,10,42897,15,364624.50
I000365,O00119,P0044,6,37026,10,199940.40
I000366,O00120,P0018,1,28628,0,28628.00
I000367,O00120,P0022,5,13413,15,57005.25
I000368,O00120,P0016,8,39719,5,301864.40
I000369,O00120,P0078,3,9952,0,29856.00
I000370,O00120,P0024,10,28494,10,256446.00
I000371,O00121,P0065,6,38180,5,217626.00
I000372,O00121,P0053,4,9266,10,33357.60
I000373,O00121,P0094,8,35256,20,225638.40
I000374,O00122,P0051,5,21836,10,98262.00
I000375,O00122,P0030,10,38698,10,348282.00
I000376,O00123,P0029,9,39973,10,323781.30
I000377,O00124,P0085,8,51626,10,371707.20
I000378,O00125,P0099,2,53479,5,101610.10
I000379,O00125,P0030,6,38698,10,208969.20
I000380,O00125,P0060,3,48833,15,124524.15
I000381,O00125,P0034,7,52301,10,329496.30
I000382,O00126,P0099,10,53479,15,454571.50
I000383,O00126,P0005,4,5624,5,21371.20
I000384,O00127,P0005,2,5624,0,11248.00
I000385,O00127,P0098,2,13062,15,22205.40
I000386,O00127,P0079,5,49546,0,247730.00
I000387,O00127,P0053,1,9266,5,8802.70
I000388,O00127,P0076,9,15519,0,139671.00
I000389,O00128,P0065,1,38180,10,34362.00
I000390,O00128,P0034,1,52301,0,52301.00
I000391,O00129,P0005,8,5624,10,40492.80
I000392,O00129,P0059,7,27604,0,193228.00
I000393,O00129,P0057,2,42897,15,72924.90
I000394,O00129,P0097,6,36994,0,221964.00
I000395,O00129,P0063,3,33341,20,80018.40
I000396,O00130,P0016,10,39719,15,337611.50
I000397,O00130,P0079,6,49546,10,267548.40
I000398,O00130,P0076,9,15519,0,139671.00
I000399,O00130,P0012,3,28291,20,67898.40
I000400,O00131,P0062,6,33323,10,179944.20
I000401,O00131,P0017,7,51525,5,342641.25
