ID,orderNumber,orderDate,status,totalAmount,discountAmount,netAmount,customer_ID,salesEmployee_ID
O00001,SO000001,2025-06-13,Completed,1364772.00,66957.65,1297814.35,C0136,E008
O00002,SO000002,2025-06-02,Completed,560436.00,43971.90,516464.10,C0394,E024
O00003,SO000003,2025-06-30,Pending,912772.00,151795.40,760976.60,C0293,E001
O00004,SO000004,2025-05-25,Completed,648191.00,28456.50,619734.50,C0045,E011
O00005,SO000005,2025-04-21,Completed,924437.00,132118.00,792319.00,C0444,E009
O00006,SO000006,2025-10-30,Completed,534508.00,12449.00,522059.00,C0465,E009
O00007,SO000007,2026-06-27,Cancelled,557166.00,89143.20,468022.80,C0303,E008
O00008,SO000008,2025-10-14,Delivered,1342303.00,170599.75,1171703.25,C0311,E023
O00009,SO000009,2026-02-25,Cancelled,441444.00,44144.40,397299.60,C0328,E035
O00010,SO000010,2025-09-01,Completed,1160648.00,118370.85,1042277.15,C0281,E001
O00011,SO000011,2025-03-01,Completed,148638.00,7431.90,141206.10,C0246,E022
O00012,SO000012,2025-11-05,Completed,579169.00,45925.00,533244.00,C0199,E024
O00013,SO000013,2025-03-07,Completed,293011.00,54434.30,238576.70,C0107,E008
O00014,SO000014,2025-10-20,Completed,1011132.00,128314.80,882817.20,C0191,E032
O00015,SO000015,2026-06-26,Completed,439497.00,21974.85,417522.15,C0205,E045
O00016,SO000016,2025-08-04,Completed,331340.00,29576.80,301763.20,C0352,E029
O00017,SO000017,2025-03-28,Completed,1380474.00,230012.30,1150461.70,C0138,E040
O00018,SO000018,2025-12-15,Cancelled,299051.00,50378.70,248672.30,C0443,E045
O00019,SO000019,2025-04-29,Cancelled,870644.00,56561.80,814082.20,C0359,E018
O00020,SO000020,2025-02-21,Completed,565728.00,46139.70,519588.30,C0237,E007
O00021,SO000021,2025-02-07,Completed,532237.00,30646.25,501590.75,C0210,E041
O00022,SO000022,2026-01-13,Completed,529367.00,37957.90,491409.10,C0044,E021
O00023,SO000023,2025-05-16,Completed,1269316.00,49680.00,1219636.00,C0146,E025
O00024,SO000024,2025-11-13,Completed,1365060.00,118823.15,1246236.85,C0111,E023
O00025,SO000025,2025-01-08,Cancelled,480710.00,14329.50,466380.50,C0012,E021
O00026,SO000026,2026-06-06,Completed,988667.00,154730.20,833936.80,C0497,E005
O00027,SO000027,2025-08-23,Cancelled,327202.00,53852.00,273350.00,C0497,E013
O00028,SO000028,2025-03-13,Completed,838291.00,53584.20,784706.80,C0173,E005
O00029,SO000029,2025-05-06,Completed,388046.00,53145.30,334900.70,C0046,E008
O00030,SO000030,2025-09-15,Completed,246792.00,24679.20,222112.80,C0380,E034
O00031,SO000031,2025-08-06,Delivered,1178049.00,146596.25,1031452.75,C0069,E011
O00032,SO000032,2025-01-19,Completed,932541.00,171697.80,760843.20,C0169,E022
O00033,SO000033,2025-05-06,Pending,199364.00,19936.40,179427.60,C0208,E019
O00034,SO000034,2025-12-24,Completed,242260.00,12113.00,230147.00,C0490,E005
O00035,SO000035,2025-01-17,Pending,929535.00,113654.45,815880.55,C0140,E028
O00036,SO000036,2026-03-14,Completed,613911.00,46153.05,567757.95,C0280,E037
O00037,SO000037,2025-02-06,Completed,111817.00,2296.25,109520.75,C0422,E024
O00038,SO000038,2025-06-29,Completed,352560.00,52884.00,299676.00,C0067,E030
O00039,SO000039,2025-03-30,Completed,815619.00,74677.20,740941.80,C0256,E035
O00040,SO000040,2026-03-21,Completed,603336.00,50609.90,552726.10,C0006,E024
O00041,SO000041,2026-05-13,Completed,303687.00,0.00,303687.00,C0400,E016
O00042,SO000042,2025-10-09,Completed,99383.00,7544.35,91838.65,C0434,E024
O00043,SO000043,2026-05-17,Cancelled,556505.00,53531.80,502973.20,C0139,E026
O00044,SO000044,2025-08-30,Completed,823868.00,89246.00,734622.00,C0169,E009
O00045,SO000045,2025-02-04,Completed,1314839.00,111020.90,1203818.10,C0425,E020
O00046,SO000046,2026-04-01,Completed,198114.00,20854.90,177259.10,C0420,E042
O00047,SO000047,2025-05-25,Cancelled,252120.00,12606.00,239514.00,C0214,E010
O00048,SO000048,2025-02-03,Delivered,326739.00,0.00,326739.00,C0148,E035
O00049,SO000049,2026-04-28,Completed,383384.00,24970.45,358413.55,C0047,E050
O00050,SO000050,2025-04-13,Pending,329303.00,32930.30,296372.70,C0428,E047
O00051,SO000051,2026-04-30,Delivered,295819.00,23923.70,271895.30,C0353,E026
O00052,SO000052,2025-08-18,Completed,1043099.00,44123.65,998975.35,C0428,E017
O00053,SO000053,2026-02-14,Cancelled,538826.00,26941.30,511884.70,C0432,E042
O00054,SO000054,2025-08-16,Completed,894393.00,75122.15,819270.85,C0064,E036
O00055,SO000055,2026-04-19,Delivered,985559.00,81387.95,904171.05,C0442,E050
O00056,SO000056,2025-12-23,Pending,71072.00,3553.60,67518.40,C0222,E043
O00057,SO000057,2026-02-17,Completed,790299.00,80125.35,710173.65,C0307,E042
O00058,SO000058,2025-08-05,Completed,611366.00,69634.70,541731.30,C0017,E048
O00059,SO000059,2026-04-21,Completed,1207408.00,61201.60,1146206.40,C0101,E039
O00060,SO000060,2025-08-29,Delivered,280257.00,37499.85,242757.15,C0491,E018
O00061,SO000061,2025-11-09,Completed,148476.00,1687.20,146788.80,C0424,E018
O00062,SO000062,2025-04-06,Completed,1089664.00,134809.70,954854.30,C0319,E033
O00063,SO000063,2026-05-04,Completed,1100222.00,140828.20,959393.80,C0166,E015
O00064,SO000064,2025-04-03,Pending,812903.00,93179.35,719723.65,C0437,E011
O00065,SO000065,2026-05-17,Delivered,592038.00,109935.70,482102.30,C0484,E035
O00066,SO000066,2025-04-24,Pending,599379.00,69265.40,530113.60,C0277,E020
O00067,SO000067,2026-05-10,Completed,356254.00,67767.60,288486.40,C0297,E020
O00068,SO000068,2026-05-30,Pending,400298.00,11483.40,388814.60,C0066,E022
O00069,SO000069,2025-02-01,Completed,582549.00,26857.10,555691.90,C0355,E026
O00070,SO000070,2025-05-04,Cancelled,240304.00,24030.40,216273.60,C0037,E004
O00071,SO000071,2026-05-02,Completed,1010777.00,113225.85,897551.15,C0232,E050
O00072,SO000072,2025-05-26,Cancelled,791915.00,80413.60,711501.40,C0475,E050
